model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,variant_source,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha
Tree entropy depth=5 split=25 leaf=1,777,718,446,3693,0.7933972310969116,0.7059884724874168,0.6353229762878169,0.5197324414715719,0.8922445035032617,0.5717439293598234,0.8276740298053995,0.6225336167436502,0.21707490237841676,0.2653532126375577,prepruned_grid,entropy,5.0,25,1,0.0
Tree entropy depth=5 split=25 leaf=10,779,716,446,3693,0.7937522186723465,0.706657368808487,0.6359183673469387,0.5210702341137123,0.8922445035032617,0.5727941176470588,0.8307327073170535,0.6241817529461633,0.21742988995385162,0.2653532126375577,prepruned_grid,entropy,5.0,25,10,0.0
Tree entropy depth=6 split=2 leaf=1,769,726,463,3676,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.8230876700219222,0.6197574443887038,0.21867234646787362,0.2653532126375577,prepruned_grid,entropy,6.0,2,1,0.0
Tree entropy depth=6 split=10 leaf=1,769,726,463,3676,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.8230876700219222,0.6197574443887038,0.21867234646787362,0.2653532126375577,prepruned_grid,entropy,6.0,10,1,0.0
Tree entropy depth=6 split=25 leaf=1,769,726,459,3680,0.7896698615548455,0.7017424595636094,0.6262214983713354,0.51438127090301,0.8891036482242087,0.5648182152038194,0.8237119624810414,0.6217244667976849,0.2179623713170039,0.2653532126375577,prepruned_grid,entropy,6.0,25,1,0.0
Tree entropy depth=6 split=25 leaf=10,763,732,460,3679,0.7884274050408235,0.6996149684742812,0.6238757154538022,0.5103678929765886,0.8888620439719739,0.5614422369389257,0.8266928256465742,0.6232962863826337,0.21707490237841676,0.2653532126375577,prepruned_grid,entropy,6.0,25,10,0.0
Tree entropy depth=None split=2 leaf=1,768,727,736,3403,0.7403265885694,0.667945822468549,0.5106382978723404,0.5137123745819397,0.8221792703551583,0.5121707235745249,0.668147105476013,0.3918609260444475,0.26695065672701457,0.2653532126375577,prepruned_grid,entropy,,2,1,0.0
Tree entropy depth=None split=10 leaf=1,728,767,656,3483,0.7474263400780973,0.664232066136538,0.5260115606936416,0.48695652173913045,0.8415076105339454,0.5057311566516152,0.7158624100145367,0.45845431151041544,0.24565140220092296,0.2653532126375577,prepruned_grid,entropy,,10,1,0.0
Tree entropy depth=None split=25 leaf=1,727,768,573,3566,0.7619808306709265,0.6739241944437486,0.5592307692307692,0.4862876254180602,0.8615607634694371,0.5202146690518784,0.7615006452207203,0.5105032996903491,0.23074192403265886,0.2653532126375577,prepruned_grid,entropy,,25,1,0.0
Tree entropy depth=None split=25 leaf=10,743,752,548,3591,0.7692580759673412,0.682295418165246,0.5755228505034856,0.49698996655518396,0.867600869775308,0.533381191672649,0.7908983072349566,0.5790772643375293,0.229144479943202,0.2653532126375577,prepruned_grid,entropy,,25,10,0.0
